Centre_ID,Centre_Title,Centre_Address,County,Maximum_Occupancy,Centre_Phone,Person_in_Charge,Person_in_Charge_Phone,Registration_Provider,Registration_Provider_Address,Registration_Provider_Phone,Registration_Date,Registration_Expiry_Date,Expiry_Date_Note,CRO_Registration_Number,Management_Contacts,Registration_Number,Chief_Inspector_Note,Registration_Conditions,URL
505,"Lusk Community Unit","Lusk Community Nursing Unit, Station Road, Lusk, K45 Y097",Dublin,47,"01 807 1240","Reshma Kakkattuchalil","01 807 1240","Health Service Executive","Oak House, Millennium Park, Naas, W91 KDC2, Kildare","045 880 400",26-06-2021,25-06-2024,,,"Caitriona Manning - 01 824 5020",REG-0034561,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 26 July 2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 47.",https://www.hiqa.ie/areas-we-work/find-a-centre/lusk-community-unit
246,"Lystoll Lodge Nursing Home","Skehenerin, Listowel, V31 EC92",Kerry,48,"068 24248","Shane Scanlan","068 24 248","Lystoll Lodge Nursing Home Limited","Skehenerin, Listowel, Kerry","068 24248",10-12-2022,09-12-2025,,527903,"Christine McElligott - 068 242 48",REG-0037013,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 10/10/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 48Condition 4The designated centre shall be operated at all times in accordance with the regulations and the governance arrangements as detailed in documentation submitted to the Chief Inspector on June 3rd 2022.",https://www.hiqa.ie/areas-we-work/find-a-centre/lystoll-lodge-nursing-home
578,"Macroom Community Hospital","Macroom, P12 AX83",Cork,26,"026 410 02","Bernadette Buckley","026 41 002","Health Service Executive","Oak House, Millennium Park, Naas, W91 KDC2, Kildare","045 880 400",23-04-2021,22-04-2024,,,,REG-0034206,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 12/12/22. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose dated 16/11/22,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 26.",https://www.hiqa.ie/areas-we-work/find-a-centre/macroom-community-hospital
417,"Maria Goretti Nursing Home","Proonts, Kilmallock, V35 T104",Limerick,57,"063 989 83","Anna Hickey","063 98 983","Helen O'Mahony,  Michael O'Mahony,  Eamonn O'Mahony,  Kathleen O'Mahony trading as Maria Goretti Nursing Home","Maria Goretti Nursing Home, Proonts, Kilmallock, V35 T104, Limerick","063 989 83",14-06-2021,13-06-2024,,,,REG-0034523,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 14/04/2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 57.",https://www.hiqa.ie/areas-we-work/find-a-centre/maria-goretti-nursing-home
693,"Marian House","Holy Faith Convent, Glasnevin, D11 HN8F",Dublin,26,"01 837 6165","Rowena Odiada","01 837 6165","Holy Faith Sisters with Enda Mullen,  Brenda Kennedy,  Dolores Madden,  Niamh O'Mahony,  Vivienne Keely as members","Aylward House, Holy Faith Convent, Glasnevin, D11 YEF1, Dublin 11","01 852 0306",15-12-2023,14-12-2026,,,"Arlene Diaz - 01 837 6165",REG-0037784,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 07/12/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 26.",https://www.hiqa.ie/areas-we-work/find-a-centre/marian-house
358,"Marian House Alzheimer Unit","Ballindine East, Ballindine, Claremorris, F12 C950",Mayo,10,"094 936 4101","Pamela Dalton","094 936 4101","West of Ireland Alzheimer Foundation","Main Street, Ballindine, Mayo","094 936 4900",24-08-2021,23-08-2024,,244419,"Patrick Holmes - 094 936 4900",REG-0034731,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on  01 June 2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 10.",https://www.hiqa.ie/areas-we-work/find-a-centre/marian-house-alzheimer-unit
4451,"Maryborough Nursing Home","Maryborough Hill, Douglas, T12 AX28",Cork,37,"021 489 1586","Vipin Karata","021 489 1586","Maryborough Nursing Home Limited","Maryborough Hill, Douglas, T12 AX28, Cork","021 489 1586",04-09-2023,03-09-2026,,526406,,REG-0037383,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 26/04/2023.The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 37.",https://www.hiqa.ie/areas-we-work/find-a-centre/maryborough-nursing-home
359,"Maryfield Nursing Home","Farnablake East, Athenry, H65 DD54",Galway,23,"091 844 833","Marie Mellett","091 844 833","West of Ireland Alzheimer Foundation","Main Street, Ballindine, Mayo","094 936 4900",25-06-2021,24-06-2024,,244419,"Patrick Holmes - 094 936 4900",REG-0034728,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 06/12/2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 23.",https://www.hiqa.ie/areas-we-work/find-a-centre/maryfield-nursing-home-0
64,"Maryfield Nursing Home","Old Lucan Road, Chapelizod, D20 WC89",Dublin,69,"01 567 7576","Martina Baraba","01 567 7576","The Frances Taylor Foundation Chapelizod CLG","Old Lucan Road, Chapelizod, Dublin 20, D20 WC39","01 567 7576",26-09-2021,25-09-2024,,297250,,REG-0034891,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose dated 28/06/2021within the footprint of the designated centre on the floor plan dated 28/06/2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 69.",https://www.hiqa.ie/areas-we-work/find-a-centre/maryfield-nursing-home
65,"Marymount Care Centre","Westmanstown , Lucan, K78 FD29",Dublin,140,"01 820 4500","Catherine Tighe","01 820 4500","Humar Limited","Westmanstown, Lucan, K78 FD29, Co. Dublin","01 820 4500",12-06-2022,11-06-2025,,223456,"Fergus McNulty - 01 820 4500, Maureen McNulty - 01 820 4500, Conor McNulty - 01 820 4500",REG-0035827,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose received 29 September 2023 within the footprint of the designated centre on the floor plans submitted September 2023 with the exception of the following pending changes to the layout of the designated centre: - New hair salon and coffee dock created and replacing temporary office space off the Rose lounge in St Anthony’s unit.- New office space created on first floor in place of office space,  physiotherapy gym and staff room.- Physiotherapy gym relocated to second therapy room in St Clare’s unit first floor adjacent to the ADON office. - Respite room/relatives' rest room on first floor relocated to staff room adjacent to lift and office space. - Staff snug/room relocated next to staff canteen on first floor.   The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 140.",https://www.hiqa.ie/areas-we-work/find-a-centre/marymount-care-centre
582,"Marymount University Hospital & Hospice","Curraheen Road, Curraheen, T12A710",Cork,63,"021 4869100","Audrey Allen","021 4501201","Marymount University Hospital & Hospice","Curraheen Road, Curraheen, Cork, T12A710, Cork","021 486 9100",10-09-2023,09-09-2026,,394557,"Sarah McCloskey - 021 486 9100",REG-0037395,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 19/07/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 63.",https://www.hiqa.ie/areas-we-work/find-a-centre/marymount-university-hospital-hospice
516,"Maynooth Community Care Unit","Leinster Street, Maynooth, W23 HT28",Kildare,34,"01 610 6350","Maire O'Keeffe-McEvoy","01 610 6320","Health Service Executive","Oak House, Millennium Park, Naas, W91 KDC2, Kildare","045 880 400",25-06-2021,24-06-2024,,,,REG-0034755,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose  within the footprint of the designated centre on the floor plan dated 19/05/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 34.",https://www.hiqa.ie/areas-we-work/find-a-centre/maynooth-community-care-unit
4593,"Maynooth Lodge Nursing Home","Rathcoffey Road, Crinstown, Maynooth, W23 P237",Kildare,85,"01 629 2433","Sinéad Cronly","074 910 1000","The Brindley Manor Federation of Nursing Homes Limited","Brindley Manor Nursing Home, Letterkenny Road, Convoy, F93 ND80, Donegal","074 914 7000",15-04-2022,14-04-2025,,325873,"Gillian McDonald - 087 191 5369, Sinéad Cronly - 074 910 1000",REG-0035643,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose (version 18.1 dated 23 May 2022) within the footprint of the designated centre on the floor plan dated April 2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 85.",https://www.hiqa.ie/areas-we-work/find-a-centre/maynooth-lodge-nursing-home
635,"Merlin Park Community Nursing Unit 6","Merlin Park, H91 N973",Galway,26,"091 775 569","Eileen Costello","091 7755 72","Health Service Executive","Oak House, Millennium Park, Naas, W91 KDC2, Kildare","045 880 400",29-06-2021,28-06-2024,,,"Damien Woods - 093 37 937",REG-0035526,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 10 June 2022.The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 26",https://www.hiqa.ie/areas-we-work/find-a-centre/merlin-park-community-nursing-unit-6
251,"Middletown House Nursing Home","Ardamine, Gorey, Y25 P6H7",Wexford,51,"053 942 5451","Deepa George","053 942 5451","Joriding Limited","Dunboyne Nursing Home, Waynestown, Summerhill Road, Dunboyne, A86 XF89, Meath","01 801 5535",22-10-2021,21-10-2024,,506707,"Rosetta Herr - 01 825 5232, Sruthy Joseph Panajikkal - 047 721 38, Karen Byrne - 086 082 8146, Karen McElherron - 042 938 3997",REG-0035152,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 21/04/2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 51",https://www.hiqa.ie/areas-we-work/find-a-centre/middletown-house-nursing-home
579,"Midleton Community Hospital","The Green, Midleton, P25 DT96",Cork,42,"021 463 5300","Grace Tabuno","021 463 5300","Health Service Executive","Oak House, Millennium Park, Naas, W91 KDC2, Kildare","045 880 400",15-02-2024,14-02-2027,,,,REG-0038015,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 14 December 2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 42.Condition 4By 30 April 2024 the HSE will have completed the repair of the flood damage to the front building of Midleton Community Hospital in accordance with the plan submitted to the Chief Inspector.  
In the interim of the above works being completed St. Mary’s Unit,  previously registered to accommodate short stay residents only,  may be used to accommodate long term care residents who were living in the front building of Midleton Community Hospital when it was flooded,  to a maximum of 6 residents at any one time. 
No new residents may be admitted to Midleton Community Hospital until such time as all the long term residents who were living in the front building of Midleton Community Hospital when it was flooded,  have been transferred to a suitable vacancy in St Patrick’s/St Joseph’s or St. Ann’s/St Ita’s,  or another long-term care facility of their choice,  and St Mary’s Unit,  has reverted to accommodating short stay residents only.",https://www.hiqa.ie/areas-we-work/find-a-centre/midleton-community-hospital
418,"Milford Nursing Home","Milford Care Centre, Plassey Park Road, Castletroy, V94 H795",Limerick,69,"061 485 800","Sinead O'Sullivan","061 485 800","Milford Care Centre","Milford House, Plassey Park Road, Castletroy, V94 H795, Limerick","061 485 800",07-08-2021,06-08-2024,,291969,"Catherine (Kay) Chawke - 061 485 856",REG-0034737,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 31/05/21. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 69.",https://www.hiqa.ie/areas-we-work/find-a-centre/milford-nursing-home
66,"Mill Lane Manor Private Nursing Home","Sallins Road, Naas, W91 W329",Kildare,70,"045 874 700","Alison Ortega","045 874 700","The Brindley Manor Federation of Nursing Homes Limited","Brindley Manor Nursing Home, Letterkenny Road, Convoy, F93 ND80, Donegal","074 914 7000",14-02-2024,13-02-2027,,325873,"Gillian McDonald - 087 191 5369, Sinéad Cronly - 074 910 1000",REG-0038165,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 13/11/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 70.",https://www.hiqa.ie/areas-we-work/find-a-centre/mill-lane-manor-private-nursing-home
419,"Millbrae Lodge Nursing Home","Newport, V94 H2V3",Tipperary,81,"061 378 933","Katie O'Brien","061 378933","Millbrae Lodge Nursing Home Limited","Newport, V94 N2V3, Tipperary","061 378933",01-10-2022,30-09-2025,,521717,"Edward Harkin - 087 964 2152, Ashling Newman - 087 915 0652",REG-0036190,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 28/03/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 81.",https://www.hiqa.ie/areas-we-work/find-a-centre/millbrae-lodge-nursing-home
763,"Millbrook Manor Nursing Home","Slade Road, Coolmines, Saggart, D24 A9RY",Dublin,85,"01 257 4400","Kate Tuz","01 257 4400","Coolmine Healthcare Limited","St Doolagh's House, Balgiffin, Malahide Road, D17 CY54, Co. Dublin","01 257 440",06-11-2021,05-11-2024,,514943,"Gerry Gallen - 01 257440",REG-0035161,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 19/04/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 85.",https://www.hiqa.ie/areas-we-work/find-a-centre/millbrook-manor-nursing-home
700,"Millbury Nursing Home","Commons Road, Navan, C15 WY88",Meath,101,"046 903 6400","Rowena Cueto","046 903 6400","Rossclare Nursing Home Limited","Kells Road, Athboy, Meath","046 903 6400",19-01-2022,18-01-2025,,468667,"Thierry Grillet - 046 943 2457, Lucy Flynn Grillet - 046 943 2457",REG-0035530,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 17/12/2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 101.",https://www.hiqa.ie/areas-we-work/find-a-centre/millbury-nursing-home
68,"Moate Nursing Home","Dublin Road, Moate, N37 NT68",Westmeath,50,"090 648 2855","Jaya Ninan","090 648 2855","Mowlam Healthcare Services Unlimited Company","One Bank Place, Limerick City, Limerick, V94 HT2Y, Limerick","061 416 099",23-03-2024,22-03-2027,,506719,"Anne Blagdon - 061 416 099, Susan Shortt - 061 416 099",REG-0038163,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received 08 December 2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 50.",https://www.hiqa.ie/areas-we-work/find-a-centre/moate-nursing-home
254,"Mooncoin Residential Care Centre","Polerone Road, Mooncoin, X91 T638",Kilkenny,78,"051 896 884","(Bridget Patricia) Trish Curran","051 896884","Mooncoin RCC Limited","Polerone Road, Mooncoin, X91 T638, Kilkenny","051 896 884",01-09-2023,31-08-2026,,537973,"Caitriona O'Flynn - 051 896 884, Kieran O'Reilly - 051 896 884",REG-0037413,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan declaration received on 24/05/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 78.",https://www.hiqa.ie/areas-we-work/find-a-centre/mooncoin-residential-care-centre
147,"Moorehall Lodge Ardee","Hale Street, Ardee, A92 W967",Louth,125,"041 685 6990","Brett Boyes","041 685 6990","Moorehall Living Limited","The Highline, Bakers Point, Pottery Road, Dun Laoghaire, A96 KW29, Co. Dublin","041 685 6990",15-02-2022,14-02-2025,,624570,"Caroline Day - 086 773 4285",REG-0035482,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 23/11/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 125.",https://www.hiqa.ie/areas-we-work/find-a-centre/moorehall-lodge-ardee
8302,"Moorehall Lodge Balbriggan","Bath Road, Balbriggan, K32 XR04",Dublin,102,"041 981 6722","Elena Pal","041 981 6722","MHLB Limited","The Highline, Bakers Point, Pottery Road, Dun Laoghaire, A96 KW29, Co. Dublin","01 675 4366",26-08-2022,25-08-2025,,672474,"Caroline Day - 086 773 4285",REG-0040450,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 19/07/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 102.",https://www.hiqa.ie/areas-we-work/find-a-centre/moorehall-lodge-balbriggan
737,"Moorehall Lodge Drogheda","Dublin Road, Drogheda, A92 XP03",Meath,121,"041 981 6700","Heather Carter","041 981 8400","Moorehall Healthcare (Drogheda) Limited","The Highline, Bakers Point, Pottery Road, Dun Laoghaire, A96 KW29, Co. Dublin","041 981 6700",07-06-2021,06-06-2024,,484049,,REG-0034509,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 19/03/2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 121.",https://www.hiqa.ie/areas-we-work/find-a-centre/moorehall-lodge-drogheda
723,"Mount Alvernia Hospital","Newberry, Mallow, P51 XT95",Cork,42,"022 214 05","Deirdre Sheehan","022 58401","Health Service Executive","Oak House, Millennium Park, Naas, W91 KDC2, Kildare","045 880 400",30-06-2021,29-06-2024,,,,REG-0034767,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 08/02/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 42.",https://www.hiqa.ie/areas-we-work/find-a-centre/mount-alvernia-hospital
747,"Mount Cara Nursing Home","Redemption Road, Blackpool, Cork, T23 YY93",Cork,26,"021 439 5737","Sheena Varghese","021 439 5737","Shannore Management Ltd","Claddagh, Skeheen, Mitchelstown, P67 XV72, Cork","086 837 7627",01-03-2024,28-02-2027,,510391,"Michael O'Shea - 086 837 7627",REG-0038090,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received 20/09/23. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 26.",https://www.hiqa.ie/areas-we-work/find-a-centre/mount-cara-nursing-home
