"Statistic Label","Census Year","Sex","Type of difficulty or condition","Extent of difficulty or condition","Type of Communal Establishment","UNIT","VALUE"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Any Extent","Tourist/youth hostel or campsite","Number","49"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Any Extent","Student specific accommodation","Number","252"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Any Extent","Religious community","Number","55"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Any Extent","Residential facility for people with an intellectual and/or physical disability","Number","1497"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Any Extent","Children's home","Number","28"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Any Extent","Nursing home","Number","3514"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Any Extent","Hospital","Number","1019"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Any Extent","Defence establishment","Number","7"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Any Extent","Prison","Number","385"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Any Extent","Shelter or refuge (including accommodation for homeless persons)","Number","855"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Any Extent","Civilian ships, boats and barges","Number","2"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Any Extent","Other, including not stated","Number","435"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Some Extent","All persons","Number","4203"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Some Extent","Hotel","Number","335"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Some Extent","Guest house, boarding house or B&B","Number","65"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Some Extent","Tourist/youth hostel or campsite","Number","35"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Some Extent","Student specific accommodation","Number","197"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Some Extent","Religious community","Number","41"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Some Extent","Residential facility for people with an intellectual and/or physical disability","Number","542"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Some Extent","Children's home","Number","21"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Some Extent","Nursing home","Number","1605"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Some Extent","Hospital","Number","434"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Some Extent","Defence establishment","Number","6"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Some Extent","Prison","Number","246"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Some Extent","Shelter or refuge (including accommodation for homeless persons)","Number","514"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Some Extent","Civilian ships, boats and barges","Number","2"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Some Extent","Other, including not stated","Number","160"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Great Extent","All persons","Number","4430"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Great Extent","Hotel","Number","108"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Great Extent","Guest house, boarding house or B&B","Number","27"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Great Extent","Tourist/youth hostel or campsite","Number","14"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Great Extent","Student specific accommodation","Number","55"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Great Extent","Religious community","Number","14"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Great Extent","Residential facility for people with an intellectual and/or physical disability","Number","955"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Great Extent","Children's home","Number","7"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Great Extent","Nursing home","Number","1909"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Great Extent","Hospital","Number","585"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Great Extent","Defence establishment","Number","1"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Great Extent","Prison","Number","139"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Great Extent","Shelter or refuge (including accommodation for homeless persons)","Number","341"
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Great Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Male","Psychological or emotional condition or a mental health issue","Great Extent","Other, including not stated","Number","275"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Any Extent","All persons","Number","9560"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Any Extent","Hotel","Number","716"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Any Extent","Guest house, boarding house or B&B","Number","98"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Any Extent","Tourist/youth hostel or campsite","Number","43"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Any Extent","Student specific accommodation","Number","197"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Any Extent","Religious community","Number","174"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Any Extent","Residential facility for people with an intellectual and/or physical disability","Number","968"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Any Extent","Children's home","Number","7"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Any Extent","Nursing home","Number","4519"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Any Extent","Hospital","Number","1563"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Any Extent","Defence establishment","Number","10"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Any Extent","Prison","Number","309"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Any Extent","Shelter or refuge (including accommodation for homeless persons)","Number","744"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Any Extent","Civilian ships, boats and barges","Number","1"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Any Extent","Other, including not stated","Number","211"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Some Extent","All persons","Number","5081"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Some Extent","Hotel","Number","550"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Some Extent","Guest house, boarding house or B&B","Number","64"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Some Extent","Tourist/youth hostel or campsite","Number","31"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Some Extent","Student specific accommodation","Number","161"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Some Extent","Religious community","Number","127"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Some Extent","Residential facility for people with an intellectual and/or physical disability","Number","482"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Some Extent","Children's home","Number","6"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Some Extent","Nursing home","Number","2131"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Some Extent","Hospital","Number","761"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Some Extent","Defence establishment","Number","7"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Some Extent","Prison","Number","207"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Some Extent","Shelter or refuge (including accommodation for homeless persons)","Number","433"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Some Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Some Extent","Other, including not stated","Number","121"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Great Extent","All persons","Number","4479"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Great Extent","Hotel","Number","166"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Great Extent","Guest house, boarding house or B&B","Number","34"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Great Extent","Tourist/youth hostel or campsite","Number","12"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Great Extent","Student specific accommodation","Number","36"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Great Extent","Religious community","Number","47"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Great Extent","Residential facility for people with an intellectual and/or physical disability","Number","486"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Great Extent","Children's home","Number","1"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Great Extent","Nursing home","Number","2388"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Great Extent","Hospital","Number","802"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Great Extent","Defence establishment","Number","3"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Great Extent","Prison","Number","102"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Great Extent","Shelter or refuge (including accommodation for homeless persons)","Number","311"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Great Extent","Civilian ships, boats and barges","Number","1"
"People with a disability","2022","Male","Pain, breathing or any other chronic illness or condition","Great Extent","Other, including not stated","Number","90"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Any Extent","All persons","Number","10744"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Any Extent","Hotel","Number","220"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Any Extent","Guest house, boarding house or B&B","Number","37"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Any Extent","Tourist/youth hostel or campsite","Number","20"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Any Extent","Student specific accommodation","Number","24"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Any Extent","Religious community","Number","129"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Any Extent","Residential facility for people with an intellectual and/or physical disability","Number","1620"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Any Extent","Children's home","Number","6"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Any Extent","Nursing home","Number","6509"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Any Extent","Hospital","Number","1668"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Any Extent","Defence establishment","Number","2"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Any Extent","Prison","Number","78"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Any Extent","Shelter or refuge (including accommodation for homeless persons)","Number","283"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Any Extent","Civilian ships, boats and barges","Number","1"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Any Extent","Other, including not stated","Number","147"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Some Extent","All persons","Number","3461"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Some Extent","Hotel","Number","132"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Some Extent","Guest house, boarding house or B&B","Number","19"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Some Extent","Tourist/youth hostel or campsite","Number","13"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Some Extent","Student specific accommodation","Number","14"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Some Extent","Religious community","Number","61"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Some Extent","Residential facility for people with an intellectual and/or physical disability","Number","592"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Some Extent","Children's home","Number","4"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Some Extent","Nursing home","Number","1670"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Some Extent","Hospital","Number","640"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Some Extent","Defence establishment","Number","2"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Some Extent","Prison","Number","49"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Some Extent","Shelter or refuge (including accommodation for homeless persons)","Number","183"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Some Extent","Civilian ships, boats and barges","Number","1"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Some Extent","Other, including not stated","Number","81"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Great Extent","All persons","Number","7283"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Great Extent","Hotel","Number","88"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Great Extent","Guest house, boarding house or B&B","Number","18"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Great Extent","Tourist/youth hostel or campsite","Number","7"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Great Extent","Student specific accommodation","Number","10"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Great Extent","Religious community","Number","68"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Great Extent","Residential facility for people with an intellectual and/or physical disability","Number","1028"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Great Extent","Children's home","Number","2"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Great Extent","Nursing home","Number","4839"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Great Extent","Hospital","Number","1028"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Great Extent","Defence establishment","Number",""
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Great Extent","Prison","Number","29"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Great Extent","Shelter or refuge (including accommodation for homeless persons)","Number","100"
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Great Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Male","Difficulty dressing, bathing or getting around inside the home","Great Extent","Other, including not stated","Number","66"
"People with a disability","2022","Male","Difficulty going outside the home","Any Extent","All persons","Number","11163"
"People with a disability","2022","Male","Difficulty going outside the home","Any Extent","Hotel","Number","231"
"People with a disability","2022","Male","Difficulty going outside the home","Any Extent","Guest house, boarding house or B&B","Number","47"
"People with a disability","2022","Male","Difficulty going outside the home","Any Extent","Tourist/youth hostel or campsite","Number","18"
"People with a disability","2022","Male","Difficulty going outside the home","Any Extent","Student specific accommodation","Number","38"
"People with a disability","2022","Male","Difficulty going outside the home","Any Extent","Religious community","Number","178"
"People with a disability","2022","Male","Difficulty going outside the home","Any Extent","Residential facility for people with an intellectual and/or physical disability","Number","1766"
"People with a disability","2022","Male","Difficulty going outside the home","Any Extent","Children's home","Number","10"
"People with a disability","2022","Male","Difficulty going outside the home","Any Extent","Nursing home","Number","6444"
"People with a disability","2022","Male","Difficulty going outside the home","Any Extent","Hospital","Number","1739"
"People with a disability","2022","Male","Difficulty going outside the home","Any Extent","Defence establishment","Number","3"
"People with a disability","2022","Male","Difficulty going outside the home","Any Extent","Prison","Number","107"
"People with a disability","2022","Male","Difficulty going outside the home","Any Extent","Shelter or refuge (including accommodation for homeless persons)","Number","391"
"People with a disability","2022","Male","Difficulty going outside the home","Any Extent","Civilian ships, boats and barges","Number","1"
"People with a disability","2022","Male","Difficulty going outside the home","Any Extent","Other, including not stated","Number","190"
"People with a disability","2022","Male","Difficulty going outside the home","Some Extent","All persons","Number","3158"
"People with a disability","2022","Male","Difficulty going outside the home","Some Extent","Hotel","Number","150"
"People with a disability","2022","Male","Difficulty going outside the home","Some Extent","Guest house, boarding house or B&B","Number","28"
"People with a disability","2022","Male","Difficulty going outside the home","Some Extent","Tourist/youth hostel or campsite","Number","8"
"People with a disability","2022","Male","Difficulty going outside the home","Some Extent","Student specific accommodation","Number","35"
"People with a disability","2022","Male","Difficulty going outside the home","Some Extent","Religious community","Number","78"
"People with a disability","2022","Male","Difficulty going outside the home","Some Extent","Residential facility for people with an intellectual and/or physical disability","Number","525"
"People with a disability","2022","Male","Difficulty going outside the home","Some Extent","Children's home","Number","8"
"People with a disability","2022","Male","Difficulty going outside the home","Some Extent","Nursing home","Number","1329"
"People with a disability","2022","Male","Difficulty going outside the home","Some Extent","Hospital","Number","568"
"People with a disability","2022","Male","Difficulty going outside the home","Some Extent","Defence establishment","Number","3"
"People with a disability","2022","Male","Difficulty going outside the home","Some Extent","Prison","Number","75"
"People with a disability","2022","Male","Difficulty going outside the home","Some Extent","Shelter or refuge (including accommodation for homeless persons)","Number","249"
"People with a disability","2022","Male","Difficulty going outside the home","Some Extent","Civilian ships, boats and barges","Number","1"
"People with a disability","2022","Male","Difficulty going outside the home","Some Extent","Other, including not stated","Number","101"
"People with a disability","2022","Male","Difficulty going outside the home","Great Extent","All persons","Number","8005"
"People with a disability","2022","Male","Difficulty going outside the home","Great Extent","Hotel","Number","81"
"People with a disability","2022","Male","Difficulty going outside the home","Great Extent","Guest house, boarding house or B&B","Number","19"
"People with a disability","2022","Male","Difficulty going outside the home","Great Extent","Tourist/youth hostel or campsite","Number","10"
"People with a disability","2022","Male","Difficulty going outside the home","Great Extent","Student specific accommodation","Number","3"
"People with a disability","2022","Male","Difficulty going outside the home","Great Extent","Religious community","Number","100"
"People with a disability","2022","Male","Difficulty going outside the home","Great Extent","Residential facility for people with an intellectual and/or physical disability","Number","1241"
"People with a disability","2022","Male","Difficulty going outside the home","Great Extent","Children's home","Number","2"
"People with a disability","2022","Male","Difficulty going outside the home","Great Extent","Nursing home","Number","5115"
"People with a disability","2022","Male","Difficulty going outside the home","Great Extent","Hospital","Number","1171"
"People with a disability","2022","Male","Difficulty going outside the home","Great Extent","Defence establishment","Number",""
"People with a disability","2022","Male","Difficulty going outside the home","Great Extent","Prison","Number","32"
"People with a disability","2022","Male","Difficulty going outside the home","Great Extent","Shelter or refuge (including accommodation for homeless persons)","Number","142"
"People with a disability","2022","Male","Difficulty going outside the home","Great Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Male","Difficulty going outside the home","Great Extent","Other, including not stated","Number","89"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Any Extent","All persons","Number","11101"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Any Extent","Hotel","Number","354"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Any Extent","Guest house, boarding house or B&B","Number","77"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Any Extent","Tourist/youth hostel or campsite","Number","38"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Any Extent","Student specific accommodation","Number","127"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Any Extent","Religious community","Number","141"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Any Extent","Residential facility for people with an intellectual and/or physical disability","Number","1945"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Any Extent","Children's home","Number","12"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Any Extent","Nursing home","Number","5633"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Any Extent","Hospital","Number","1622"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Any Extent","Defence establishment","Number","6"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Any Extent","Prison","Number","189"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Any Extent","Shelter or refuge (including accommodation for homeless persons)","Number","652"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Any Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Any Extent","Other, including not stated","Number","305"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Some Extent","All persons","Number","1972"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Some Extent","Hotel","Number","182"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Some Extent","Guest house, boarding house or B&B","Number","32"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Some Extent","Tourist/youth hostel or campsite","Number","13"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Some Extent","Student specific accommodation","Number","107"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Some Extent","Religious community","Number","40"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Some Extent","Residential facility for people with an intellectual and/or physical disability","Number","234"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Some Extent","Children's home","Number","3"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Some Extent","Nursing home","Number","567"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Some Extent","Hospital","Number","314"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Some Extent","Defence establishment","Number","4"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Some Extent","Prison","Number","113"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Some Extent","Shelter or refuge (including accommodation for homeless persons)","Number","296"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Some Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Some Extent","Other, including not stated","Number","67"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Great Extent","All persons","Number","9129"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Great Extent","Hotel","Number","172"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Great Extent","Guest house, boarding house or B&B","Number","45"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Great Extent","Tourist/youth hostel or campsite","Number","25"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Great Extent","Student specific accommodation","Number","20"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Great Extent","Religious community","Number","101"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Great Extent","Residential facility for people with an intellectual and/or physical disability","Number","1711"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Great Extent","Children's home","Number","9"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Great Extent","Nursing home","Number","5066"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Great Extent","Hospital","Number","1308"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Great Extent","Defence establishment","Number","2"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Great Extent","Prison","Number","76"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Great Extent","Shelter or refuge (including accommodation for homeless persons)","Number","356"
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Great Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Male","Difficulty working at a job or business or attending school or college","Great Extent","Other, including not stated","Number","238"
"People with a disability","2022","Male","Difficulty participating in other activities","Any Extent","All persons","Number","11733"
"People with a disability","2022","Male","Difficulty participating in other activities","Any Extent","Hotel","Number","431"
"People with a disability","2022","Male","Difficulty participating in other activities","Any Extent","Guest house, boarding house or B&B","Number","74"
"People with a disability","2022","Male","Difficulty participating in other activities","Any Extent","Tourist/youth hostel or campsite","Number","32"
"People with a disability","2022","Male","Difficulty participating in other activities","Any Extent","Student specific accommodation","Number","71"
"People with a disability","2022","Male","Difficulty participating in other activities","Any Extent","Religious community","Number","205"
"People with a disability","2022","Male","Difficulty participating in other activities","Any Extent","Residential facility for people with an intellectual and/or physical disability","Number","1847"
"People with a disability","2022","Male","Difficulty participating in other activities","Any Extent","Children's home","Number","9"
"People with a disability","2022","Male","Difficulty participating in other activities","Any Extent","Nursing home","Number","6288"
"People with a disability","2022","Male","Difficulty participating in other activities","Any Extent","Hospital","Number","1788"
"People with a disability","2022","Male","Difficulty participating in other activities","Any Extent","Defence establishment","Number","7"
"People with a disability","2022","Male","Difficulty participating in other activities","Any Extent","Prison","Number","189"
"People with a disability","2022","Male","Difficulty participating in other activities","Any Extent","Shelter or refuge (including accommodation for homeless persons)","Number","533"
"People with a disability","2022","Male","Difficulty participating in other activities","Any Extent","Civilian ships, boats and barges","Number","1"
"People with a disability","2022","Male","Difficulty participating in other activities","Any Extent","Other, including not stated","Number","258"
"People with a disability","2022","Male","Difficulty participating in other activities","Some Extent","All persons","Number","3418"
"People with a disability","2022","Male","Difficulty participating in other activities","Some Extent","Hotel","Number","281"
"People with a disability","2022","Male","Difficulty participating in other activities","Some Extent","Guest house, boarding house or B&B","Number","45"
"People with a disability","2022","Male","Difficulty participating in other activities","Some Extent","Tourist/youth hostel or campsite","Number","21"
"People with a disability","2022","Male","Difficulty participating in other activities","Some Extent","Student specific accommodation","Number","63"
"People with a disability","2022","Male","Difficulty participating in other activities","Some Extent","Religious community","Number","90"
"People with a disability","2022","Male","Difficulty participating in other activities","Some Extent","Residential facility for people with an intellectual and/or physical disability","Number","542"
"People with a disability","2022","Male","Difficulty participating in other activities","Some Extent","Children's home","Number","7"
"People with a disability","2022","Male","Difficulty participating in other activities","Some Extent","Nursing home","Number","1272"
"People with a disability","2022","Male","Difficulty participating in other activities","Some Extent","Hospital","Number","522"
"People with a disability","2022","Male","Difficulty participating in other activities","Some Extent","Defence establishment","Number","6"
"People with a disability","2022","Male","Difficulty participating in other activities","Some Extent","Prison","Number","125"
"People with a disability","2022","Male","Difficulty participating in other activities","Some Extent","Shelter or refuge (including accommodation for homeless persons)","Number","314"
"People with a disability","2022","Male","Difficulty participating in other activities","Some Extent","Civilian ships, boats and barges","Number","1"
"People with a disability","2022","Male","Difficulty participating in other activities","Some Extent","Other, including not stated","Number","129"
"People with a disability","2022","Male","Difficulty participating in other activities","Great Extent","All persons","Number","8315"
"People with a disability","2022","Male","Difficulty participating in other activities","Great Extent","Hotel","Number","150"
"People with a disability","2022","Male","Difficulty participating in other activities","Great Extent","Guest house, boarding house or B&B","Number","29"
"People with a disability","2022","Male","Difficulty participating in other activities","Great Extent","Tourist/youth hostel or campsite","Number","11"
"People with a disability","2022","Male","Difficulty participating in other activities","Great Extent","Student specific accommodation","Number","8"
"People with a disability","2022","Male","Difficulty participating in other activities","Great Extent","Religious community","Number","115"
"People with a disability","2022","Male","Difficulty participating in other activities","Great Extent","Residential facility for people with an intellectual and/or physical disability","Number","1305"
"People with a disability","2022","Male","Difficulty participating in other activities","Great Extent","Children's home","Number","2"
"People with a disability","2022","Male","Difficulty participating in other activities","Great Extent","Nursing home","Number","5016"
"People with a disability","2022","Male","Difficulty participating in other activities","Great Extent","Hospital","Number","1266"
"People with a disability","2022","Male","Difficulty participating in other activities","Great Extent","Defence establishment","Number","1"
"People with a disability","2022","Male","Difficulty participating in other activities","Great Extent","Prison","Number","64"
"People with a disability","2022","Male","Difficulty participating in other activities","Great Extent","Shelter or refuge (including accommodation for homeless persons)","Number","219"
"People with a disability","2022","Male","Difficulty participating in other activities","Great Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Male","Difficulty participating in other activities","Great Extent","Other, including not stated","Number","129"
"People with a disability","2022","Female","Total persons with a disability","Any Extent","All persons","Number","26259"
"People with a disability","2022","Female","Total persons with a disability","Any Extent","Hotel","Number","3409"
"People with a disability","2022","Female","Total persons with a disability","Any Extent","Guest house, boarding house or B&B","Number","299"
"People with a disability","2022","Female","Total persons with a disability","Any Extent","Tourist/youth hostel or campsite","Number","196"
"People with a disability","2022","Female","Total persons with a disability","Any Extent","Student specific accommodation","Number","1430"
"People with a disability","2022","Female","Total persons with a disability","Any Extent","Religious community","Number","1421"
